New Hampshire,165
Virginia,165
Vermont,163
Nebraska,162
Massachusetts,161
Wyoming,161
North Dakota,161
Kentucky,160
Utah,160
Montana,159
Iowa,159
Indiana,159
Florida,158
Maine,158
Washington,158
Minnesota,157
Ohio,157
South Dakota,157
Tennessee,157
Wisconsin,156
Idaho,156
South Carolina,155
Missouri,155
New Jersey,155
Texas,155
Connecticut,154
Kansas,154
Michigan,154
North Carolina,154
Oklahoma,153
Oregon,153
Maryland,153
Rhode Island,152
Georgia,152
Illinois,151
West Virginia,151
Delaware,150
Arkansas,150
New York,150
Arizona,149
Hawaii,146
Alabama,145
New Mexico,143
Nevada,142
Mississippi,140
California,140
Puerto Rico,Ñ
Pennsylvania,Ñ
Louisiana,Ñ
District of Columbia,Ñ
Colorado,Ñ
Alaska,Ñ
